archivo,dataset,entidad,pagina_fuente,url_descarga,licencia,fecha_descarga,nota
raw/sismo/msft_danos.csv,Daños detectados por modelo de IA sobre huellas de edificios (filtrado a Cali),"Microsoft AI for Good + Airbus, publicado en HDX; vía monitor-terremoto-colombia",https://data.humdata.org/dataset/98e2bb4b-e2b9-4178-bf47-826883ca08cc,https://raw.githubusercontent.com/18orkidea/monitor-terremoto-colombia/HEAD/data/dumps/msft_danos.csv,HDX (verificar la licencia del dataset),2026-09-25,Fuente original: airbus_8-10_cali_hdx_building_footprints_with_predictions_validated.gpkg en HDX
raw/sismo/msft_recursos.csv,Índice de recursos de Microsoft/Airbus en HDX,"Microsoft AI for Good, vía monitor-terremoto-colombia",https://data.humdata.org/dataset/98e2bb4b-e2b9-4178-bf47-826883ca08cc,https://raw.githubusercontent.com/18orkidea/monitor-terremoto-colombia/HEAD/data/dumps/msft_recursos.csv,HDX (verificar),2026-09-25,Trae la URL de descarga directa de cada archivo en HDX
raw/sismo/men_sedes.csv,"Sedes educativas con estado físico tras el sismo (filtrado a Cali, cod_mun 76001)","Ministerio de Educación Nacional (SISE), vía monitor-terremoto-colombia",https://mineducacion.maps.arcgis.com/apps/dashboards/5e47f09f3b374396a5b3be15e8e96192,https://raw.githubusercontent.com/18orkidea/monitor-terremoto-colombia/HEAD/data/dumps/men_sedes.csv,Información pública del MEN,2026-09-25,"Reporte administrativo de las secretarías de educación, no una evaluación estructural"
raw/sismo/ops_salud_ips.csv,IPS con daños según los SitRep 1-6 de la OPS (filtrado a Cali),"Organización Panamericana de la Salud, vía monitor-terremoto-colombia",https://github.com/18orkidea/monitor-terremoto-colombia/tree/HEAD/data/documentos/ops_salud,https://raw.githubusercontent.com/18orkidea/monitor-terremoto-colombia/HEAD/data/dumps/ops_salud_ips.csv,Información pública de la OPS,2026-09-25,Filas repetidas por SitRep
raw/sismo/crosscheck.csv,Cruce Copernicus vs. prensa y reportes por AOI,datosdelterremoto.org,https://datosdelterremoto.org/municipio/cali/,https://datosdelterremoto.org/data/public/crosscheck.csv,Sin licencia declarada,2026-09-25,
(no guardado) rud.json,"RUD - Registro Único de Damnificados, serie diaria por municipio","UNGRD, capturado por datosdelterremoto.org",https://rud.gestiondelriesgo.gov.co/,https://datosdelterremoto.org/data/public/rud.json,Información pública,2026-09-25,"Cali: 45.138 familias, 97.337 personas, 879 viviendas destruidas y 16.357 averiadas (corte al 17-sep-2026)"
(no guardado) monitor.json,"Monitor del terremoto: AOIs, exposición y activaciones",datosdelterremoto.org,https://datosdelterremoto.org/,https://datosdelterremoto.org/data/public/monitor.json,Sin licencia declarada,2026-09-25,
(consulta) IDEAM nivel instantáneo,Nivel instantáneo de ríos (IDEAM),"IDEAM, en datos.gov.co",https://www.datos.gov.co/resource/bdmn-sqnh,https://www.datos.gov.co/resource/bdmn-sqnh.json,Datos abiertos,2026-09-25,En Cali solo trae la estación La Vorágine; no incluye Juanchito
(consulta) CVC Juanchito,"Nivel del río Cauca en Juanchito, informes diarios GEOCVC",CVC,https://portal-hidroclimatologico.cvc.gov.co/,,Pública,2026-09-25,No tiene API: se copia a mano
(consulta) catálogo IDESC,Capacidades del servicio WFS de la IDESC (lista de capas),IDESC,https://idesc.cali.gov.co,https://ws-idesc.cali.gov.co/geoserver/ows?service=WFS&version=1.0.0&request=GetCapabilities,,2026-09-25,Sirve para descubrir más capas
(consulta) API del portal,API CKAN de Datos Abiertos Cali,Alcaldía de Cali,https://datos.cali.gov.co,https://datos.cali.gov.co/api/3/action/package_search?q=,,2026-09-25,Búsqueda de datasets
../../maqueta3d/public/data/spaces.json,Mapa de espacios por comuna y barrio,Derivado de Alcaldía de Cali · DAPM / IDESC y Deporte,https://datos.cali.gov.co/dataset/epou-espacio-publico-efectivo | https://idesc.cali.gov.co | https://www.datos.gov.co/dataset/Comunas-de-Santiago-de-Cali/dx2g-2mhm | https://datos.cali.gov.co/dataset/servicio-wms-barrios-de-cali | https://datos.cali.gov.co/dataset/inundacion-fluvial | https://datos.cali.gov.co/dataset/inundacion-pluvial | https://idesc.cali.gov.co | https://idesc.cali.gov.co | https://datos.cali.gov.co/dataset/efectos-sismicos,https://ws-idesc.cali.gov.co/geoserver/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=dapm:epou_epu_espacio_publico_efectivo&outputFormat=application/json&srsName=EPSG:4326 | https://ws-idesc.cali.gov.co/geoserver/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=deporte_recreacion:escenarios_deportivos&outputFormat=application/json&srsName=EPSG:4326 | https://ws-idesc.cali.gov.co/geoserver/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=dapm:pdt_dpa_comunas&outputFormat=application/json&srsName=EPSG:4326 | https://ws-idesc.cali.gov.co/geoserver/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=dapm:pdt_dpa_barrios_sectores&outputFormat=application/json&srsName=EPSG:4326 | https://ws-idesc.cali.gov.co/geoserver/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=pot_2014:amb_ari_inundacion_fluvial&outputFormat=application/json&srsName=EPSG:4326 | https://ws-idesc.cali.gov.co/geoserver/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=pot_2014:amb_ari_inundacion_pluvial&outputFormat=application/json&srsName=EPSG:4326 | https://ws-idesc.cali.gov.co/geoserver/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=expediente_municipal:emc_amb_ari_amenaza_no_mitigable_inundacion&outputFormat=application/json&srsName=EPSG:4326 | https://ws-idesc.cali.gov.co/geoserver/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=idesc:mc_susceptible_licuacion&outputFormat=application/json&srsName=EPSG:4326 | https://ws-idesc.cali.gov.co/geoserver/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=pot_2014:amb_ari_efectos_sismicos&outputFormat=application/json&srsName=EPSG:4326,CC BY-SA 4.0,2026-09-25,"Derivado local reproducible con npm run data en maqueta3d; URL de descarga corresponde a fuentes primarias, no al derivado. No confirma disponibilidad."
../../maqueta3d/public/data/sectores.csv,Resumen territorial del mapa,Derivado de Alcaldía de Cali · DAPM / IDESC y Deporte,https://datos.cali.gov.co/dataset/epou-espacio-publico-efectivo | https://idesc.cali.gov.co | https://www.datos.gov.co/dataset/Comunas-de-Santiago-de-Cali/dx2g-2mhm | https://datos.cali.gov.co/dataset/servicio-wms-barrios-de-cali,https://ws-idesc.cali.gov.co/geoserver/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=dapm:epou_epu_espacio_publico_efectivo&outputFormat=application/json&srsName=EPSG:4326 | https://ws-idesc.cali.gov.co/geoserver/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=deporte_recreacion:escenarios_deportivos&outputFormat=application/json&srsName=EPSG:4326 | https://ws-idesc.cali.gov.co/geoserver/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=dapm:pdt_dpa_comunas&outputFormat=application/json&srsName=EPSG:4326 | https://ws-idesc.cali.gov.co/geoserver/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=dapm:pdt_dpa_barrios_sectores&outputFormat=application/json&srsName=EPSG:4326,CC BY-SA 4.0,2026-09-25,"Derivado local reproducible con npm run data en maqueta3d; URL de descarga corresponde a fuentes primarias, no al derivado. No confirma disponibilidad."
../../maqueta3d/public/data/communes.json,Límites de comunas depurados,Derivado de Alcaldía de Cali · DAPM / IDESC y Deporte,https://www.datos.gov.co/dataset/Comunas-de-Santiago-de-Cali/dx2g-2mhm,https://ws-idesc.cali.gov.co/geoserver/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=dapm:pdt_dpa_comunas&outputFormat=application/json&srsName=EPSG:4326,CC BY-SA 4.0,2026-09-25,"Derivado local reproducible con npm run data en maqueta3d; URL de descarga corresponde a fuentes primarias, no al derivado. No confirma disponibilidad."
../../maqueta3d/public/data/neighborhoods.json,Límites de barrios depurados,Derivado de Alcaldía de Cali · DAPM / IDESC y Deporte,https://datos.cali.gov.co/dataset/servicio-wms-barrios-de-cali,https://ws-idesc.cali.gov.co/geoserver/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=dapm:pdt_dpa_barrios_sectores&outputFormat=application/json&srsName=EPSG:4326,CC BY-SA 4.0,2026-09-25,"Derivado local reproducible con npm run data en maqueta3d; URL de descarga corresponde a fuentes primarias, no al derivado. No confirma disponibilidad."
../../maqueta3d/public/data/flood.json,Capas de inundación depuradas,Derivado de Alcaldía de Cali · DAPM / IDESC y Deporte,https://datos.cali.gov.co/dataset/inundacion-fluvial | https://datos.cali.gov.co/dataset/inundacion-pluvial | https://idesc.cali.gov.co,https://ws-idesc.cali.gov.co/geoserver/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=pot_2014:amb_ari_inundacion_fluvial&outputFormat=application/json&srsName=EPSG:4326 | https://ws-idesc.cali.gov.co/geoserver/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=pot_2014:amb_ari_inundacion_pluvial&outputFormat=application/json&srsName=EPSG:4326 | https://ws-idesc.cali.gov.co/geoserver/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=expediente_municipal:emc_amb_ari_amenaza_no_mitigable_inundacion&outputFormat=application/json&srsName=EPSG:4326,CC BY-SA 4.0,2026-09-25,"Derivado local reproducible con npm run data en maqueta3d; URL de descarga corresponde a fuentes primarias, no al derivado. No confirma disponibilidad."
../../maqueta3d/public/data/seismic.json,Susceptibilidad a licuación y corrimiento depurada,Derivado de Alcaldía de Cali · DAPM / IDESC y Deporte,https://idesc.cali.gov.co | https://datos.cali.gov.co/dataset/efectos-sismicos,https://ws-idesc.cali.gov.co/geoserver/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=idesc:mc_susceptible_licuacion&outputFormat=application/json&srsName=EPSG:4326 | https://ws-idesc.cali.gov.co/geoserver/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=pot_2014:amb_ari_efectos_sismicos&outputFormat=application/json&srsName=EPSG:4326,CC BY-SA 4.0,2026-09-25,"Derivado local reproducible con npm run data en maqueta3d; URL de descarga corresponde a fuentes primarias, no al derivado. No confirma disponibilidad."
