Comuna;ID_BARRIO;Barrio;DIRECCION;ESCENARIO;Tipo Espacio;TIPO ESCENENARIO;EQUIPAMIENTO;PROGRAMAS SECRETARIA DE DEPORTE;GRAMA NATURAL;SINTETICA;MULTIPLE;BALONCESTO;VOLEIBOL;PISCINA ADULTOS;PISCINA NI�OS;JUEGOS INFANTILES;BIOSALUDABLES;PISTA PATINAJE;PISTA DE TROTE;PISTA BMX;TENIS;TEJO;HOCKEY;FUTSALA;MICROFUTB;VOLEY PLAYA
6;5;Petecuy I;K 2E # 73 - 00;Parque La Reconciliacion;Cerrado;PARQUE;Biosaludables- Juegos Infantiles- Cancha Sintetica- Primera Infancia;No Tiene;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
6;5;Petecuy I;K 2E # 75 - 00;Polideportivo Petecuy I;Cerrado;POLIDEPORTIVO;Cancha Grama Natural- Cancha De Baloncesto- Juegos Infantiles;No Tiene;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
6;5;Petecuy I;K 2E # 78 -10;Unidad Recreativa Petecuy I;Cerrado;UNIDAD RECREATIVA;Cancha Grama Natural- Cancha Multiple- Cancha De Futbol 5- Salon Multiple- Cancha Sintetica- Piscina Ninos- Piscina Adultos- Juegos Infantiles- Biosaludables;No Tiene;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0
6;6;Petecuy II;C 74 # 1C1 - 75;Polideportivo Petecuy Dos;Cerrado;POLIDEPORTIVO;Cancha Grama Natural- Cancha Multiple- Salon Multiple- Cancha Sintetica- Juegos Infantiles- Biosaludables- Edificacion;Deporvida (Futsala- Futbol);1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
6;6;Petecuy II;K 1A13 # 76 - 00;Cancha De Futbol La Inmaculada Petecuy Ii;Cerrado;CANCHA ;Cancha Grama Natural- Cancha Multiple- Cancha De Baloncesto- Juegos Infantiles;No Tiene;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
6;7;La Rivera;C 70C # 1H - 00;Parque Recreativo La Virgen;Abierto;PARQUE RECREATIVO;No Tiene Equipamento;Cuerpo Y Espiritu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;7;La Rivera;C 71 # 1G - 00;Parque Recreativo La Bruja;Abierto;PARQUE RECREATIVO;Juegos Infantiles-  Pista De Trote;No Tiene;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
6;7;La Rivera;K 1J # 70B - 00;Polideportivo La Rivera;Cerrado;POLIDEPORTIVO;Cancha Grama Natural- Cancha Multiple- Juegos Infantiles;No Tiene;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
6;8;Tejares De Salomia;C 71 # 4F-15;Polideportivo Tejares De Salomia;Cerrado;POLIDEPORTIVO;Cancha Multiple- Juegos Infantiles- Edificacion- Gimnasio;Deporvida (Baloncesto)- Canas Y Ganas-;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
6;8;Guaduales;C 72 BIS # 5N - 00;Parque Sector 7 Los Guaduales;Abierto;PARQUE;Cancha Futbol 5 -Juegos Infantil-Cancha Multiple;No Tiene;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
6;8;Solares De Comfandi;K 3A # 72 - 00;Cancha Multiple Solares De Comfandi;Cerrado;CANCHA MULTIPLE;Cancha Multiple;No Tiene;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;8;Quintas De Salomia;K 3B # 71-05;Kiosco Deportivo  Quintas De Salomia;Abierto;KIOSCO;Kiosco- Juegos Infantiles-;No Tiene;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
